7727,CABRERA CANALES GUILLERMO EDRIC,159.62,Gastroenterologia
2466,CORONEL CHUMPITAZ HELI,274.29,Dermatologia
2655,PRADO VERGEL CARLOS JULIAN,327.46,Oncologia
5908,BENAVENTE AYALA VIRGINIA IRMA,103.57,Neumologia
9994,CALDERON ORTEGA GUILLERMO,304.3,Oncologia
5791,VELASQUEZ HUAYANAY EDGARD HENRY,437.9,Cardiologia
8748,PALOMARES VERA HENRRY HUMBERTO,496.65,Geriatria
5119,NORABUENA PRECIADO CINTHIA,280.72,Cardiologia
3922,CHAVEZ PRADO SILVANA,304.56,Gastroenterologia
1691,AQUINO TORO VALENTINA ROCIO,252.29,Pediatria
5814,PORTUGAL BENAVENTE JOHANA GLORIA,228.08,Dermatologia
8697,LOZADA YINO MARTHA,143.53,Neumologia
9846,AMEZQUITA EPIQUEN EVERT ROBERTO,418.17,Pediatria
4494,LARRIEGA ARCA ISABEL MADELEINE,245.01,Urologia
3603,ASMAD ACUNA ANNIE OFELIA,361.22,Cardiologia
1759,CRUZ FUENTES JOHANA YDALI,399.63,Urologia
5899,LANDA PISCOYA CHRISTIAN,199.82,Dermatologia
8872,CORRALES TSUKAZAN IRMA LOURDES,490.97,Cardiologia
1282,VILCARA CORREA VICTOR,265.18,Ginecologia
6836,PAIRAZAMAN CUBA ALBERTO,193,Geriatria
2139,DEL POZO ISABEL JUGO,335.77,Endocrinologia
5204,HIJAR YEP WILLIAMS CHRISTIAN,219.54,Traumatologia
1313,SOMA INGA DIALY,482.04,Ginecologia
6587,JUSTINO CRUZ WILLIAMS,378.14,Gastroenterologia
9444,ARCA AMEZQUITA EDRIC RONALD,102.48,Urologia
1323,FARFAN RARAZ WALDEMAR,435.39,Oftalmologia
9017,LANDEO SUELDO ADOLFO,418.29,Oncologia
2427,MARTEL ASMAD BRUNO ROBERTO,190.25,Geriatria
4393,CUBA NARVAEZ PAUL JOHN,322.29,Urologia
4691,SUAREZ BOLANOS RAFAEL,319.48,Pediatria
2824,AURIS ZIMIC JAVIER DANIEL,238.43,Oftalmologia
9418,VALVERDE BERROCAL RONY GONZALO,211.66,Neumologia
6357,MEJIA HAZA FRANCISCO EDGAR,162.06,Ginecologia
8618,MORALES VALVERDE INES MARTHA,114.79,Gastroenterologia
9822,MALCA SAAVEDRA DORIS MILAGROS,421.81,Traumatologia
1847,INGA FLORES CESAR ADOLFO,234.35,Endocrinologia
2375,CAMACHO AGUERO ELIA ROSA,190.84,Pediatria
6924,PAREDES PATINO CHRISTIAN,222.03,Ginecologia
8516,PRADO PAREDES JUAN,464.87,Endocrinologia
2239,CERNA DURAND MARTIN,483.82,Gastroenterologia
5243,YOSHINARI RIVERA PAUL,302.87,Traumatologia
8159,LAURA WONG MELVIN HENRRY,345.56,Endocrinologia
9398,GONZALES ARIAS HENRY,140.19,Geriatria
2846,CARO POLO SANDRO,436.54,Oftalmologia
1265,GORDILLO YINO YVONNE ROSARIO,113.08,Dermatologia
1545,CORREA VIZCARDO MIGUEL,180.94,Cardiologia
6506,SALAS AGUERO DANIEL,140.12,Dermatologia
